record_id,date,time,season,month,day_of_week,temperature,pressure,humidity,wind_speed,weather_condition
1232,2023-02-21,07:00:00,Winter,2,Tuesday,10.24,1008.99,48.27,13.43,windy
3166,2023-05-12,21:00:00,Spring,5,Friday,16.0,1012.56,,,Sunny
3410,2023-05-23,01:00:00,Spring,5,Tuesday,15.31,1001.13,80.17,12.64,RAINY
783,2023-02-02,14:00:00,Winter,2,Thursday,8.36,1009.71,53.66,11.77,Stormy
1424,2023-03-01,07:00:00,Spring,3,Wednesday,19.66,1004.62,80.67,15.14,FOGGY
1259,2023-02-22,10:00:00,Winter,2,Wednesday,11.66,1017.31,65.74,26.37,FOGGY
1613,2023-03-09,04:00:00,Spring,3,Thursday,6.74,1015.69,50.91,17.82,Cloudy
2244,2023-04-04,11:00:00,Spring,4,Tuesday,,1023.63,67.26,6.52,Sunny 
1191,2023-02-19,14:00:00,Winter,2,Sunday,1.65,1018.35,65.08,14.31,Foggy
3154,2023-05-12,09:00:00,Spring,5,Friday,10.36,1025.46,56.13,14.93,Rainy
2273,2023-04-05,16:00:00,Spring,4,Wednesday,17.34,1008.38,65.46,9.91,windy
2608,2023-04-19,15:00:00,Spring,4,Wednesday,23.53,1003.0,48.66,18.17, Foggy
842,2023-02-05,01:00:00,Winter,2,Sunday,4.45,1028.63,47.11,13.07,Windy
1929,2023-03-22,08:00:00,Spring,3,Wednesday,16.76,1015.67,74.49,16.01,WINDY
1064,2023-02-14,07:00:00,Winter,2,Tuesday,9.05,1004.27,58.51,18.21,Cludy
2343,2023-04-08,14:00:00,Spring,4,Saturday,22.88,1015.95,32.41,11.7,Cludy
705,2023-01-30,08:00:00,Winter,1,Monday,10.41,1015.95,60.91,0.43,sunny
2850,2023-04-29,17:00:00,Spring,4,Saturday,18.59,1006.57,54.43,10.74,Foggy
2401,2023-04-11,00:00:00,Spring,4,Tuesday,7.01,1023.15,57.85,9.72,stormy
595,2023-01-25,18:00:00,Winter,1,Wednesday,6.2,1002.39,48.8,13.56,SUNNY
232,2023-01-10,15:00:00,Winter,1,Tuesday,13.98,1000.81,46.62,14.26,Stormy
1227,2023-02-21,02:00:00,Winter,2,Tuesday,11.22,1020.43,47.55,,Foggy
734,2023-01-31,13:00:00,Winter,1,tuesday,3.55,1020.64,68.14,20.84,RAINY
304,2023-01-13,15:00:00,Winter,1,Friday,4.41,1020.16,50.58,19.49,Foggy
3125,2023-05-11,04:00 AM,Spring,5,Thursday,,1018.97,52.23,5.05,Foggy
1768,2023-03-15,15:00:00,Spring,3,Wednesday,26.03,996.35,73.09,6.38,Stromy
1774,2023-03-15,21:00:00,Spring,3,Wednesday,10.7,1022.53,65.13,1.7,foggy
615,2023-01-26,14:00:00,Winter,1,Thursday,5.1,1014.92,-15.0,14.83,Rainy 
2017,2023-03-26,00:00:00,Spring,3,Sunday,13.59,1013.72,72.47,17.55,Foggy
3406,,21:00:00,Spring,5,Monday,25.19,1015.67,63.98,16.43,Windy
3129,2023-05-11,08:00:00,Spring,5,Thursday,,1019.71,52.64,11.65,windy
2824,2023-04-28,03:00 PM,Spring,4,Friday,23.89,1027.67,28.43,4.62,windy
2873,2023-04-30,16:00:00,Spring,4,Sunday,14.86,1022.66,42.79,13.08,Foggy
1694,2023-03-12,13:00:00,Spring,3,Sunday,6.91,1003.65,38.55,16.93,
395,2023-01-17,10:00:00,Winter,1,Tuesday,-0.08,1022.32,43.98,,stormy
329,2023-01-14,16:00:00,Winter,1,Saturday,999.0,1017.46,55.16,,Windy
1172,2023-02-18,19:00:00,Winter,2,Saturday,2.81,1018.32,43.06,6.3,foggy
231,2023-01-10,14:00:00,WINTER,1,tuesday,13.37,1004.79,56.99,7.8,windy
700,2023-01-30,03:00:00,Winter,1,Monday,10.87,998.71,49.61,13.81,WINDY
2820,2023-04-28,11:00:00,Spring,4,Friday,27.45,1013.09,61.39,,Stormy
3170,2023-05-13,01:00 AM,Spring,5,Saturday,21.24,,70.58,13.21,STORMY
1859,2023-03-19,10:00:00,Spring,3,Sunday,,1005.61,48.24,13.76,Cludy
1978,2023-03-24,09:00:00,Spring,3,friday,21.86,1019.27,60.03,15.39,
2807,2023-04-27,22:00:00,Spring,4,Thursday,22.3,990.86,95.72,21.01,Stromy
1662,2023-03-11,05:00:00,spring,3,Saturday,13.11,1027.39,63.29,6.38,CLOUDY
1505,2023-03-04,16:00:00,Spring,3,Saturday,28.89,1014.55,52.79,,Windy
53,2023-01-03,04:00:00,Winter,1,Tuesday,,1043.82,63.56,18.81,cloudy
1582,2023-03-07,,Spring,3,Tuesday,15.54,1001.7,47.25,15.71,STORMY
1006,2023-02-11,21:00:00,Winter,2,Saturday,18.85,1001.61,,16.7,STORMY
335,2023-01-14,22:00:00,Winter,1,saturday,,1010.58,49.18,13.02,WINDY
765,2023-02-01,20:00:00,Winter,2,Wednesday,5.22,1014.64,36.97,9.63,Cloudy
460,2023-01-20,03:00:00,Winter,1,Friday,2.28,1013.87,54.5,10.75,Rainy 
810,2023-02-03,17:00:00,Winter,2,Friday,13.04,1002.96,57.77,17.63,Cloudy
1658,2023-03-11,01:00:00,Spring,3,Saturday,15.04,1016.52,31.48,14.74,stormy
3050,2023-05-08,01:00:00,Spring,5,Monday,14.71,1014.39,,12.1,cloudy
86,04/01/2023,13:00:00,Winter,1,Wednesday,3.89,1014.95,58.67,8.96,Windy
515,2023-01-22,10:00:00,Winter,1,Sunday,5.62,1020.0,58.94,,Stromy
691,2023-01-29,18:00:00,Winter,1,Sunday,11.15,,68.43,8.21,Rainy
410,2023-01-18,01:00:00,Winter,1,Wednesday,,1016.39,85.94,5.59,windy
2395,2023-04-10,18:00:00,Spring,4,Monday,9.95,1019.03,38.77,9.97,Rainy 
887,2023-02-06,22:00:00,Winter,2,monday,,1015.51,,20.8,Rainy
115,2023-01-05,18:00:00,Winter,1,Thursday,7.46,1004.72,46.7,4.81,Stormy
3214,2023-05-14,21:00:00,Spring,5,SUNDAY,14.09,1009.32,37.47,1.13,CLOUDY
1734,2023-03-14,05:00:00,Spring,3,Tuesday,19.24,1012.92,68.18,,FOGGY
1642,2023-03-10,09:00:00,Spring,3,friday,17.89,,77.13,, Foggy
1241,2023-02-21,16:00:00,Winter,2,Tuesday,6.41,1004.76,53.15,13.85,stormy
2553,2023-04-17,08:00:00,Spring,4,Monday,18.05,1007.49,50.34,14.42,Rainy
1821,2023-03-17,20:00:00,Spring,3,Friday,14.13,1023.94,84.5,11.77,SUNNY
1958,2023-03-23,13:00:00,Spring,3,Thursday,18.96,1003.8,52.1,,sunny
1795,2023-03-16,18:00:00,Spring,3,Thursday,23.94,1005.28,48.78,7.65,cloudy
1197,2023-02-19,08:00 PM,winter,2,SUNDAY,21.78,1010.56,65.96,8.1,Windy
2333,2023-04-08,04:00:00,Spring,4,Saturday,19.13,1017.85,NA,10.14,Stormy
2927,2023-05-02,22:00:00,Spring,5,Tuesday,20.57,1019.0,43.62,15.73,
759,2023-02-01,14:00:00,Winter,2,Wednesday,10.27,1005.14,55.88,14.68,CLOUDY
543,2023-01-23,14:00:00,Winter,1,Monday,6.83,1016.73,69.81,11.54,WINDY
1109,2023-02-16,04:00:00,Winter,2,Thursday,9.13,1008.51,46.7,16.18,CLOUDY
2718,2023-04-24,05:00:00,Spring,4,Monday,14.44,1017.76,74.48,13.69,Cloudy
2145,2023-03-31,08:00 AM,Spring,3,Friday,18.08,1005.1,21.16,14.59,windy
1279,2023-02-23,06:00:00,Winter,2,Thursday,7.8,1001.77,52.99,15.12,Stromy
1066,2023-02-14,09:00:00,Winter,2,Tuesday,12.99,1010.71,66.39,10.25,RAINY
1035,2023-02-13,02:00:00,Winter,2,Monday,7.72,1015.7,68.37,12.03,windy
633,2023-01-27,08:00:00,Winter,1,Friday,18.28,1003.95,62.1,6.44,SUNNY
2611,2023-04-19,18:00:00,Spring,4,Wednesday,16.41,1008.67,,8.5,Rainy 
3175,2023-05-13,06:00:00,Spring,5,Saturday,25.12,1011.93,34.2,8.86,RAINY
1586,2023-03-08,01:00:00,Spring,3,Wednesday,13.37,1012.09,52.85,11.01,rainy
930,2023-02-08,17:00:00,Winter,2,wednesday,24.22,1031.46,52.28,11.36,windy
1237,2023-02-21,12:00:00,Winter,2,Tuesday,16.74,1021.32,43.9,3.99,cloudy
1876,2023-03-20,03:00:00,Spring,3,Monday,150.0,1013.97,66.3,12.6,STORMY
3370,2023-05-21,09:00:00,Spring,5,Sunday,16.24,1005.03,60.24,13.21,  sunny  
781,2023-02-02,12:00:00,Winter,2,Thursday,5.58,1008.1,62.37,9.85,SUNNY
35,2023-01-02,10:00:00,Winter,1,Monday,4.08,1010.42,67.2,4.61,rainy
1672,2023-03-11,15:00:00,Spring,3,Saturday,18.08,1014.15,47.26,6.45,Windy
292,2023-01-13,03:00:00,WINTER,1,Friday,13.11,1032.52,75.76,15.38,windy
3397,2023-05-22,12:00:00,Spring,5,Monday,21.6,1017.17,45.89,14.57,Cloudy
1371,2023-02-27,02:00:00,Winter,2,Monday,17.8,1016.6,,12.22,Stromy
153,2023-01-07,08:00:00,Winter,1,Saturday,-0.89,1024.97,64.82,11.67,FOGGY
3140,2023/05/11,19:00:00,Spring,5,Thursday,18.04,1012.94,38.18,3.29,Rainy
206,2023-01-09,13:00:00,winter,1,Monday,5.41,1024.27,89.48,9.82,Stormy
1100,2023-02-15,19:00:00,Winter,2,Wednesday,3.5,1005.29,71.2,17.66,CLOUDY
1096,2023-02-15,15:00:00,Winter,2,Wednesday,8.79,1014.41,45.0,13.19,STORMY
697,2023-01-30,00:00:00,Winter,1,Monday,5.56,1010.18,43.45,4.22,SUNNY
297,2023-01-13,08:00:00,Winter,1,Friday,3.05,1020.53,40.26,10.65,Foggy
2071,2023-03-28,06:00:00,spring,3,Tuesday,16.42,1024.0,67.1,5.66,rainy
1248,2023-02-21,23:00:00,Winter,2,Tuesday,8.96,1032.14,23.51,,foggy
2675,2023-04-22,10:00:00,Spring,4,Saturday,24.89,1030.19,62.82,0.51,STORMY
439,2023-01-19,06:00:00,Winter,1,Thursday,4.73,998.35,NA,20.24,CLOUDY
2923,2023-05-02,18:00:00,Spring,5,Tuesday,16.48,1023.46,46.42,22.57,Rainy
2065,2023-03-28,00:00:00,SPRING,3,Tuesday,23.61,1014.83,50.15,13.61,Sunny
550,2023-01-23,21:00:00,Winter,1,Mon,10.13,1013.15,,14.93,Cludy
217,2023-01-10,00:00:00,Winter,1,Tuesday,4.94,1009.9,59.29,14.01,STORMY
802,2023-02-03,,Winter,2,Friday,3.24,1007.58,43.41,16.98,SUNNY
2966,2023-05-04,13:00:00,Spring,5,Thursday,20.11,1004.88,64.35,21.82,
722,2023-01-31,01:00:00,Winter,1,Tuesday,-5.74,1009.0,,20.33,FOGGY
525,2023-01-22,20:00:00,Winter,1,Sunday,11.35,1004.43,31.69,16.91,WINDY
1465,2023-03-03,00:00:00,Spring,3,Friday,6.88,1008.86,50.49,8.21,Stormy
94,2023-01-04,21:00:00,winter,1,WEDNESDAY,15.26,1020.67,87.3,7.4,FOGGY
3061,2023-05-08,12:00:00,Spring,5,Monday,,1013.82,64.74,17.52,windy
1090,2023-02-15,09:00:00,Winter,2,Wednesday,9.14,1010.41,63.87,16.08,windy
1603,2023-03-08,18:00:00,Spring,3,Wednesday,15.81,1014.46,61.59,11.41,SUNNY
205,2023-01-09,12:00:00,Winter,1,monday,9.34,1020.12,56.23,18.39,rainy
3289,2023-05-18,00:00:00,Spring,5,Thursday,13.47,1023.45,29.52,16.71,CLOUDY
3414,2023-05-23,05:00:00,Spring,5,Tuesday,24.71,1011.15,250.0,10.1,Sunny 
1017,2023-02-12,08:00:00,Winter,2,Sunday,3.04,1007.94,57.84,13.78,foggy
445,2023-01-19,12:00:00,Winter,1,Thursday,4.94,1012.7,48.56,7.85,Rainy 
2770,2023-04-26,09:00:00,Spring,4,Wed,15.24,1004.53,37.34,21.37,WINDY
2054,2023-03-27,13:00:00,Spring,3,Monday,,1005.17,47.4,13.44,cloudy
1287,2023-02-23,14:00:00,Winter,2,Thursday,12.54,1013.99,53.14,10.73,WINDY
902,2023-02-07,13:00:00,Winter,2,Tuesday,11.91,1006.67,43.3,18.49,Cloudy
2742,2023-04-25,05:00:00,Spring,4,Tuesday,19.45,1011.64,64.53,5.84,Cludy
3052,2023-05-08,03:00:00,SPRING,5,Monday,25.41,1019.07,67.49,15.53,FOGGY
1225,2023-02-21,00:00:00,Winter,2,Tuesday,-0.44,1004.04,65.06,15.62,Sunny
2316,2023-04-07,11:00:00,Spring,4,Friday,,1024.95,64.17,7.4,Stormy
1288,2023-02-23,15:00:00,Winter,2,Thursday,11.73,1015.6,89.14,6.89,FOGGY
3385,2023-05-22,00:00:00,Spring,5,Monday,13.57,1019.21,39.92,9.8,foggy
443,2023-01-19,10:00:00,Winter,1,Thursday,8.62,1017.41,55.65,22.17,FOGGY
30,2023-01-02,05:00:00,Winter,1,Monday,7.83,1003.65,72.14,16.51,Rainy
733,2023-01-31,12:00:00,Winter,1,Tuesday,15.89,1020.88,68.04,9.27,CLOUDY
2686,2023-04-22,21:00:00,Spring,4,Saturday,22.86,1014.15,,9.65,Sunny 
2764,2023-04-26,03:00:00,Spring,4,Wednesday,19.94,1013.0,67.4,7.53,Stormy
3199,2023-05-14,06:00:00,Spring,5,Sunday,26.41,1010.26,92.55,12.15,Cloudy
864,2023-02-05,23:00:00,Winter,2,Sunday,7.36,1008.52,11.06,24.32,
2008,2023-03-25,15:00:00,Spring,3,Saturday,9.87,1013.66,48.78,21.01,cloudy
3346,2023-05-20,09:00:00,Spring,5,Sat,22.13,1022.81,62.89,,Rainy 
1592,2023-03-08,07:00:00,Spring,3,Wednesday,24.95,1027.3,51.3,1.81,sunny
1376,2023-02-27,07:00:00,Winter,2,Monday,11.52,1017.27,57.48,3.71,Rainy
3116,2023-05-10,19:00:00,Spring,5,Wednesday,10.31,1030.47,40.51,11.03,RAINY
248,2023-01-11,07:00:00,Winter,1,Wednesday,6.9,1013.22,,0.25,STORMY
846,2023/02/05,05:00:00,Winter,2,Sunday,18.83,1022.52,58.19,18.16,Stormy
2132,2023-03-30,19:00:00,Spring,3,Thursday,9.28,1004.56,150.0,13.27,Stormy
2345,2023-04-08,16:00:00,Spring,4,Saturday,7.68,1022.77,49.0,12.94,stormy
3231,2023-05-15,14:00:00,Spring,5,Monday,12.32,1016.24,47.2,3.47,Sunny 
177,2023-01-08,,Winter,1,Sunday,0.22,1017.85,35.79,22.53,STORMY
2540,2023-04-16,19:00:00,Spring,4,Sunday,,1008.02,62.54,19.27,foggy
2719,2023-04-24,06:00:00,Spring,4,Monday,21.44,1017.88,76.29,0.3,RAINY
2059,2023-03-27,18:00:00,Spring,3,Monday,7.78,1008.37,70.84,16.73, Foggy
670,2023-01-28,21:00:00,Winter,1,Saturday,9.75,1000.48,56.43,10.42, Foggy
1817,2023-03-17,16:00:00,Spring,3,Friday,17.26,1007.75,68.11,12.47,sunny
3092,2023-05-09,19:00:00,Spring,5,Tuesday,21.75,999.5,51.21,15.5,stormy
2394,2023-04-10,17:00:00,Spring,4,Monday,15.55,991.04,61.08,6.93,foggy
1462,2023-03-02,21:00:00,Spring,3,Thursday,21.6,1008.64,98.91,6.03,Rainy
1184,2023-02-19,07:00:00,Winter,2,Sunday,,1016.79,,17.75,cloudy
1251,2023-02-22,02:00:00,Winter,2,Wednesday,5.88,1009.37,28.07,,cloudy
57,2023-01-03,08:00:00,Winter,1,Tuesday,5.64,1021.71,55.96,5.53,rainy
1668,2023-03-11,11:00:00,Spring,3,Saturday,19.93,1018.62,58.61,8.01,Rainy
777,2023-02-02,08:00:00,Winter,2,Thursday,4.35,1015.89,35.6,15.43,Rainy
921,2023-02-08,08:00:00,Winter,2,Wednesday,2.4,1009.85,57.68,19.38,Rainy
2544,2023-04-16,23:00:00,Spring,4,Sunday,21.2,1015.85,,,STORMY
764,2023-02-01,19:00:00,Winter,2,Wednesday,6.56,1006.73,81.02,6.86,stormy
2455,2023-04-13,06:00:00,Spring,4,Thursday,18.57,1013.01,38.66,18.65,STORMY
26,2023-01-02,01:00:00,Winter,1,Monday,0.92,1009.63,49.86,7.19,STORMY
288,2023-01-12,23:00:00,Winter,1,Thursday,15.97,1006.22,40.13,,stormy
1902,2023-03-21,05:00:00,Spring,3,Tuesday,19.53,1007.15,41.54,8.18,Windy
2077,2023-03-28,12:00:00,Spring,3,TUESDAY,22.16,1019.38,33.64,23.47,rainy
370,2023-01-16,09:00:00,Winter,1,Monday,7.4,1016.36,41.69,9.38,sunny
1011,2023-02-12,02:00:00,Winter,2,Sunday,,1019.13,30.76,13.8,Cludy
1166,2023-02-18,13:00:00,Winter,2,Saturday,15.41,1010.73,,9.17,
3280,2023-05-17,15:00:00,Spring,5,Wednesday,,1012.51,30.18,14.9,windy
2076,2023-03-28,11:00:00,Spring,3,Tuesday,,1009.16,44.18,12.83,Rainy 
2726,2023-04-24,13:00:00,Spring,4,Monday,,1008.73,32.28,15.29,Rainy 
1368,2023-02-26,23:00:00,Winter,2,Sunday,6.37,1014.0,77.73,14.29,SUNNY
2362,2023-04-09,09:00:00,Spring,4,Sunday,25.17,999.08,43.0,8.68,Rainy
1915,2023-03-21,18:00:00,Spring,3,Tuesday,25.6,995.91,66.4,6.96,cloudy
29,2023-01-02,04:00:00,winter,1,Monday,?,1032.71,52.11,13.81,sunny
620,26-Jan-2023,19:00:00,Winter,1,Thursday,6.85,1024.63,34.92,16.16,Rainy
415,2023-01-18,06:00:00,Winter,1,Wednesday,8.84,1023.54,39.9,18.84,windy
686,2023-01-29,13:00:00,Winter,1,Sunday,10.07,1016.71,55.65,15.35,Stormy
1744,2023-03-14,15:00:00,Spring,3,Tuesday,27.56,,75.24,12.15,Cloudy
2147,2023-03-31,10:00:00,Spring,3,Friday,16.67,1017.45,82.96,0.85,stormy
2361,2023-04-09,08:00:00,Spring,4,Sunday,9.21,1010.99,40.42,12.48,Rainy
1758,2023-03-15,05:00:00,Spring,3,Wednesday,12.22,1015.58,34.54,8.81,Stormy
3252,,11:00:00,Spring,5,tuesday,17.26,1005.91,42.77,9.9,Rainy
1830,2023-03-18,05:00:00,Spring,3,Saturday,13.36,1022.95,,1.14,cloudy
1016,2023-02-12,07:00:00,Winter,2,Sunday,11.75,1015.23,40.74,13.91,STORMY
1055,2023-02-13,22:00:00,Winter,2,Monday,150.0,1009.15,59.87,1.18,RAINY
2640,2023-04-20,23:00:00,Spring,4,Thursday,19.37,1010.87,53.46,20.18,Rainy 
1526,2023-03-05,13:00:00,Spring,3,Sunday,15.06,1014.84,38.0,14.1,RAINY
1523,2023-03-05,10:00:00,Spring,3,Sunday,19.32,1012.68,66.18,12.56,WINDY
1389,2023-02-27,20:00:00,Winter,2,Monday,7.14,1018.11,54.05,3.29,Cludy
698,2023-01-30,01:00:00,Winter,1,Monday,5.72,1014.45,63.93,8.66,Windy
1675,2023-03-11,18:00:00,Spring,3,Saturday,22.99,1022.02,38.05,7.06,WINDY
2928,2023-05-02,23:00:00,Spring,5,Tuesday,23.63,1012.21,85.03,12.26,stormy
2365,2023-04-09,12:00:00,Spring,4,Sunday,,1013.42,70.68,10.79,cloudy
2995,2023-05-05,18:00:00,Spring,5,Friday,19.02,,60.35,25.42,Cloudy
2186,2023-04-02,01:00:00,Spring,4,Sunday,14.24,1025.16,56.97,17.31,
913,2023-02-08,00:00:00,Winter,2,Wednesday,11.91,,61.12,15.3,FOGGY
1935,2023-03-22,14:00:00,Spring,3,Wednesday,,1017.16,58.15,15.69,WINDY
405,2023-01-17,20:00:00,Winter,1,Tuesday,9.49,1006.99,48.6,18.89,Rainy 
1766,2023-03-15,13:00:00,Spring,3,Wednesday,25.68,1017.78,44.33,12.7,sunny
225,2023-01-10,08:00:00,WINTER,1,Tuesday,7.16,1014.17,,7.1,foggy
1154,2023-02-18,01:00:00,Winter,2,Saturday,15.21,1008.9,-15.0,10.14,Stormy
218,2023-01-10,01:00:00,Winter,1,Tuesday,11.29,1029.08,52.35,7.21,Sunny
2490,2023-04-14,17:00:00,Spring,4,Friday,19.96,1004.72,64.76,14.56,  Sunny  
3057,2023-05-08,08:00:00,Spring,5,Monday,14.97,1023.68,34.63,11.45,windy
2089,2023-03-29,00:00:00,Spring,3,Wednesday,,1019.16,87.9,17.73,Stormy
28,2023-01-02,03:00:00,Winter,1,Mon,9.29,1012.4,26.22,11.84,Stormy
1076,2023-02-14,19:00:00,Winter,2,Tuesday,5.88,1002.08,40.39,16.22,rainy
2721,2023-04-24,08:00:00,Spring,4,Monday,,1007.17,47.77,13.46,Stormy
2428,2023-04-12,03:00:00,Spring,4,Wed,11.28,1004.4,39.3,16.07,Windy
935,2023-02-08,22:00:00,Winter,2,Wednesday,5.71,1011.73,49.44,3.91,WINDY
1808,2023-03-17,07:00:00,Spring,3,Friday,18.8,1018.3,39.41,22.13,Sunny
775,2023-02-02,06:00:00,winter,2,Thursday,13.21,1017.67,53.06,15.48,Sunny 
630,2023-01-27,05:00:00,Winter,1,Friday,8.43,995.25,51.55,6.89,Foggy
797,03/02/2023,04:00:00,Winter,2,Friday,4.1,1023.64,37.05,17.36,RAINY
533,2023-01-23,04:00:00,Winter,1,Monday,11.58,1018.75,61.58,12.12,Foggy
1765,2023-03-15,12:00:00,Spring,3,Wednesday,16.65,1012.78,84.3,16.12,Sunny 
635,2023-01-27,10:00:00,Winter,1,Friday,12.88,1020.35,36.31,12.33,Windy
2567,2023-04-17,22:00:00,Spring,4,Monday,21.82,1016.21,48.6,11.25,STORMY
1601,2023-03-08,04:00 PM,Spring,3,Wednesday,19.65,,49.51,-15.03,Cludy
514,2023-01-22,09:00:00,Winter,1,Sunday,4.71,1010.57,34.81,7.08,Stromy
1002,2023-02-11,17:00:00,Winter,2,Saturday,1.17,1017.74,14.43,8.22,windy
2584,2023-04-18,15:00:00,Spring,4,Tuesday,27.48,1011.8,58.0,11.6,Windy
286,2023-01-12,21:00:00,Winter,1,Thursday,6.51,1024.01,52.75,12.75,cloudy
3108,2023-05-10,11:00:00,Spring,5,Wednesday,16.8,1010.81,75.24,21.23,windy
1816,2023-03-17,15:00:00,Spring,3,Friday,27.92,1013.1,60.8,20.16,Rainy
2626,2023-04-20,09:00:00,Spring,4,Thursday,25.71,1023.67,66.67,12.45,Foggy
1367,2023-02-26,22:00:00,Winter,2,Sunday,-1.84,1012.83,59.4,13.5,Cloudy
1037,2023-02-13,04:00:00,Winter,2,Monday,0.41,991.95,60.83,11.43,Rainy 
2464,2023-04-13,15:00:00,Spring,4,Thursday,21.43,1007.87,46.46,15.55,CLOUDY
2674,04-22-2023,09:00:00,Spring,4,Saturday,23.34,1012.29,65.27,5.54,Sunny
3249,2023-05-16,08:00:00,Spring,5,Tuesday,24.5,994.56,73.55,8.73,WINDY
1893,2023-03-20,20:00:00,Spring,3,Monday,23.88,1008.33,38.71,12.18,FOGGY
2877,2023-04-30,20:00:00,Spring,4,Sunday,27.31,1014.0,71.49,9.89,Sunny
2023,2023-03-26,06:00:00,Spring,3,Sunday,20.2,1008.83,39.24,17.08,windy
3418,2023-05-23,09:00:00,Spring,5,Tuesday,18.16,1025.29,81.75,12.45,Rainy 
3172,2023-05-13,03:00:00,SPRING,5,SATURDAY,13.53,0.0,18.09,11.16,stormy
2767,2023-04-26,06:00:00,Spring,4,Wednesday,24.36,1010.38,50.53,14.72,Stormy
266,2023-01-12,01:00:00,Winter,1,Thursday,11.86,990.21,72.23,1.56,Stormy
1769,2023-03-15,16:00:00,Spring,3,Wednesday,11.14,1022.44,65.98,19.53,
2485,2023-04-14,12:00:00,Spring,4,Friday,19.56,1019.87,36.06,0.53,foggy
2709,2023-04-23,20:00:00,Spring,4,Sunday,15.19,1010.99,79.68,10.59,foggy
1968,2023-03-23,23:00:00,Spring,3,Thursday,12.22,1018.8,77.9,23.42, Foggy
1874,2023-03-20,01:00:00,Spring,3,Monday,14.99,1013.01,39.11,300.0,cloudy
145,2023-01-07,,Winter,1,Saturday,9.18,1019.17,32.82,18.86,Windy
3296,2023-05-18,07:00:00,Spring,5,Thursday,,1004.02,50.71,12.97,Rainy
68,2023-01-03,19:00:00,Winter,1,Tuesday,5.8,1014.05,76.62,3.38,Stormy
2978,2023-05-05,01:00:00,Spring,5,Friday,14.55,,58.81,,stormy
1572,2023-03-07,11:00:00,Spring,3,Tuesday,15.03,1008.07,39.4,,WINDY
